"","leto","zivila","poraba"
"1",2000,"riz",3.8
"2",2001,"riz",3.9
"3",2002,"riz",3.7
"4",2003,"riz",3.5
"5",2004,"riz",3.1
"6",2005,"riz",3
"7",2006,"riz",3
"8",2007,"riz",3
"9",2008,"riz",2.9
"10",2009,"riz",2.5
"11",2010,"riz",2.4
"12",2012,"riz",2.6
"13",2015,"riz",2.3
"14",2018,"riz",2.3
"15",2000,"kruh",64.1
"16",2001,"kruh",60.7
"17",2002,"kruh",56.8
"18",2003,"kruh",52.8
"19",2004,"kruh",50
"20",2005,"kruh",46.1
"21",2006,"kruh",42.3
"22",2007,"kruh",39
"23",2008,"kruh",38.6
"24",2009,"kruh",37.9
"25",2010,"kruh",38.6
"26",2012,"kruh",34.2
"27",2015,"kruh",27.5
"28",2018,"kruh",26.9
"29",2000,"pecivo",5.3
"30",2001,"pecivo",5.4
"31",2002,"pecivo",5.5
"32",2003,"pecivo",5.8
"33",2004,"pecivo",6.1
"34",2005,"pecivo",6.4
"35",2006,"pecivo",6.5
"36",2007,"pecivo",6.5
"37",2008,"pecivo",6.6
"38",2009,"pecivo",6.4
"39",2010,"pecivo",6.7
"40",2012,"pecivo",6.6
"41",2015,"pecivo",6.6
"42",2018,"pecivo",6.8
"43",2000,"testenine",6.6
"44",2001,"testenine",6.6
"45",2002,"testenine",6.5
"46",2003,"testenine",6.6
"47",2004,"testenine",6.4
"48",2005,"testenine",6.7
"49",2006,"testenine",6.5
"50",2007,"testenine",6.5
"51",2008,"testenine",6.2
"52",2009,"testenine",5.9
"53",2010,"testenine",6.7
"54",2012,"testenine",6.4
"55",2015,"testenine",5.8
"56",2018,"testenine",6.7
"57",2000,"zita",27
"58",2001,"zita",24.9
"59",2002,"zita",23.6
"60",2003,"zita",23.8
"61",2004,"zita",21.8
"62",2005,"zita",19.6
"63",2006,"zita",18.2
"64",2007,"zita",17.8
"65",2008,"zita",18.2
"66",2009,"zita",16.5
"67",2010,"zita",16.2
"68",2012,"zita",17.4
"69",2015,"zita",11.9
"70",2018,"zita",12.1
"71",2000,"meso",14
"72",2001,"meso",11.6
"73",2002,"meso",10.5
"74",2003,"meso",10.2
"75",2004,"meso",10.3
"76",2005,"meso",10.3
"77",2006,"meso",10
"78",2007,"meso",10
"79",2008,"meso",9.4
"80",2009,"meso",8.7
"81",2010,"meso",8.4
"82",2012,"meso",6
"83",2015,"meso",5
"84",2018,"meso",5.8
"85",2000,"meso",14.1
"86",2001,"meso",14.3
"87",2002,"meso",13.5
