"","regija","leto","skupno.stevilo.zemljisc","skupni.povprecni.pridelek","skupno.stevilo.zivine","zivina.na.ha"
"1","lj",2016,194543,238,926481,4.76234559968747
"2","kk",2013,81956,188.4,158259,1.93102396407829
"3","sg",2010,81636,181.1,309116,3.78651575285413
"4","kr",2013,125206,189.1,161280,1.28811718288261
"5","mb",2013,238658,172.1,2049955,8.58950883691307
"6","ce",2016,204388,209.4,1068983,5.23016517603773
"7","za",2016,34103,176.8,79364,2.32718529161657
"8","kk",2016,92971,229.8,195292,2.10056899463273
"9","po",2010,69840,202.9,110177,1.57756300114548
"10","mb",2010,237896,215.1,2556895,10.7479528869758
"11","kk",2010,81432,223.9,144868,1.77900579624718
"12","sg",2016,79794,191.3,350683,4.39485424969296
"13","nm",2010,159449,201.5,262299,1.64503383527021
"14","ms",2010,189105,232.5,710847,3.75900690092806
"15","ce",2010,216762,224.6,1008440,4.65229145329901
"16","ng",2010,94796,215.5,198423,2.09315793915355
"17","slo",2010,1520516,232.3,6372181,4.19080167522078
"18","mb",2016,233964,214.5,2558328,10.9347079037801
"19","lj",2013,205594,198.9,805358,3.91722521085246
"20","lj",2010,209220,239.4,825659,3.94636746008986
"21","za",2010,21639,171.4,57536,2.65890290678867
"22","nm",2016,162955,237.8,268699,1.64891534472707
"23","ce",2013,205737,164.1,1087753,5.28710440999917
"24","kr",2016,121554,251,198488,1.63292034815802
"25","slo",2013,1522663,181.8,6193969,4.06785283414649
"26","kr",2010,121496,259,146778,1.20808915519853
"27","ms",2013,201717,172.4,808439,4.00778813882816
"28","kp",2010,37248,196.8,41143,1.10456937285223
"29","kp",2013,43424,143.8,182714,4.2076731761238
"30","po",2013,65076,167.6,129896,1.99606613805397
"31","za",2013,18381,157.5,70305,3.82487351069039
"32","ng",2016,94970,205.7,246527,2.595840791829
"33","ms",2016,203044,212.6,1106053,5.44735623805678
"34","nm",2013,161290,138.4,236258,1.46480252960506
"35","sg",2013,79910,151.7,261923,3.27772494055813
"36","ng",2013,92618,147.1,198664,2.14498261676996
"37","slo",2016,1527985,233.7,7593664,4.96972417922951
"38","kp",2016,39484,180.5,209106,5.29596798703272
"39","po",2016,65434,214.8,36980,0.565149616407372
