"","regija","leto","kmetijske.kulture","povprecni.pridelek"
"1","kp",2016,"trave",4.5
"2","kp",2010,"trave",5.7
"3","kp",2019,"belo zelje",27.5
"4","kp",2013,"lucerna",4
"5","kp",2018,"trave",4.2
"6","kp",2012,"breskve in nektarine",8.3
"7","kp",2017,"grozdje",4.4
"8","kp",2011,"travniki in pašniki",2.8
"9","kp",2020,"trave",4.3
"10","kp",2014,"oljke",0.8
"11","sg",2020,"koruza",8.2
"12","sg",2014,"oves",2.4
"13","kp",2011,"trave",4.9
"14","kp",2016,"jabolka",25.9
"15","kp",2010,"belo zelje",25.3
"16","kp",2015,"detelja",4.7
"17","sg",2010,"psenica in pira",3.5
"18","sg",2015,"buce",0.4
"19","sg",2020,"lucerna",7.6
"20","kp",2015,"jabolka",34
"21","kp",2020,"travniki in pašniki",2.7
"22","kp",2014,"detelja",5.6
"23","kp",2019,"trave",4.2
"24","kp",2013,"oljke",1.6
"25","sg",2015,"grozdje",7.5
"26","kp",2019,"koruza",5.7
"27","kp",2013,"oves",2.7
"28","sg",2017,"belo zelje",23.3
"29","sg",2011,"lucerna",8.2
"30","sg",2016,"trave",6.7
"31","kp",2014,"buce",0.8
"32","kp",2012,"lucerna",2.3
"33","kp",2017,"trave",3.7
"34","kp",2011,"breskve in nektarine",13.5
"35","kp",2016,"grozdje",5.4
"36","kp",2010,"travniki in pašniki",3.1
"37","kp",2015,"trave",4.7
"38","sg",2018,"belo zelje",23.7
"39","kp",2018,"belo zelje",28
"40","sg",2017,"hmelj",1.9
"41","sg",2011,"buce",0.7
"42","sg",2014,"trave",6.7
"43","sg",2019,"breskve in nektarine",15.4
"44","sg",2019,"trave",7.6
"45","sg",2018,"rz in sorzica",3
"46","sg",2012,"tritikala",3.5
"47","sg",2019,"travniki in pašniki",6.4
"48","sg",2013,"detelja",6.2
"49","sg",2018,"trave",6.8
"50","sg",2014,"jecmen",3.6
"51","sg",2013,"krompir",17
"52","sg",2020,"breskve in nektarine",7.9
"53","sg",2014,"jabolka",10
"54","sg",2012,"lucerna",8
"55","sg",2017,"trave",6.2
"56","sg",2016,"grozdje",5.9
"57","sg",2010,"travniki in pašniki",5.9
"58","sg",2015,"trave",6.5
"59","sg",2015,"oves",2.8
"60","sg",2020,"psenica in pira",5.7
"61","sg",2017,"oljna ogrscica in repica",2.6
"62","sg",2011,"krompir",19.5
"63","sg",2016,"rz in sorzica",3.3
"64","sg",2016,"koruza",8.6
"65","sg",2010,"oves",2.2
"66","sg",2010,"koruza",41.3
"67","sg",2018,"oves",2.7
"68","sg",2012,"jecmen",3.3
"69","sg",2016,"tritikala",4.3
"70","sg",2010,"oljna ogrscica in repica",2.8
"71","sg",2015,"koruza",44.2
"72","sg",2020,"oves",3.2
"73","sg",2019,"buce",0.4
"74","sg",2013,"koruza",28.4
