"","leto","pridelek","prodaja"
"1",2000,"krompir",1300240
"2",2001,"krompir",1383015
"3",2002,"krompir",1114680
"4",2003,"krompir",934246
"5",2004,"krompir",903689
"6",2005,"krompir",855809
"7",2006,"krompir",783974
"8",2007,"krompir",979309
"9",2008,"krompir",998312
"10",2009,"krompir",878824
"11",2010,"krompir",802210
"12",2011,"krompir",759661
"13",2012,"krompir",654640
"14",2013,"krompir",503556
"15",2014,"krompir",392616
"16",2015,"krompir",358455
"17",2016,"krompir",417135
"18",2017,"krompir",426210
"19",2018,"krompir",426602
"20",2019,"krompir",458720
"21",2020,"krompir",411341
"22",2000,"zelenjava",4406654
"23",2001,"zelenjava",4299957
"24",2002,"zelenjava",3382944
"25",2003,"zelenjava",2594209
"26",2004,"zelenjava",2679919
"27",2005,"zelenjava",3167481
"28",2006,"zelenjava",3187512
"29",2007,"zelenjava",3950385
"30",2008,"zelenjava",3670044
"31",2009,"zelenjava",3140009
"32",2010,"zelenjava",2865729
"33",2011,"zelenjava",2530279
"34",2012,"zelenjava",2293857
"35",2013,"zelenjava",2192471
"36",2014,"zelenjava",2196154
"37",2015,"zelenjava",2413957
"38",2016,"zelenjava",2703121
"39",2017,"zelenjava",2743290
"40",2018,"zelenjava",2542054
"41",2019,"zelenjava",2667970
"42",2020,"zelenjava",2770212
"43",2000,"meso",387430
"44",2001,"meso",381929
"45",2002,"meso",363048
"46",2003,"meso",323860
"47",2004,"meso",313710
"48",2005,"meso",338800
"49",2006,"meso",213476
"50",2007,"meso",164775
"51",2008,"meso",186869
"52",2009,"meso",154242
"53",2010,"meso",212960
"54",2011,"meso",215990
"55",2012,"meso",202030
"56",2013,"meso",214005
"57",2014,"meso",215385
"58",2015,"meso",56035
"59",2016,"meso",53010
"60",2017,"meso",58560
"61",2018,"meso",70525
"62",2019,"meso",79450
"63",2020,"meso",74157
"64",2000,"jajca",5183818
"65",2001,"jajca",4584090
"66",2002,"jajca",4097830
"67",2003,"jajca",3067385
"68",2004,"jajca",3085300
"69",2005,"jajca",2950320
"70",2006,"jajca",3256800
"71",2007,"jajca",3439832
"72",2008,"jajca",3642348
"73",2009,"jajca",2027856
"74",2010,"jajca",1868320
"75",2011,"jajca",1576280
"76",2012,"jajca",2418340
"77",2013,"jajca",2150630
"78",2014,"jajca",2223252
"79",2015,"jajca",907195
"80",2016,"jajca",822290
"81",2017,"jajca",731480
"82",2018,"jajca",787570
"83",2019,"jajca",780010
"84",2020,"jajca",693271
"85",2000,"med",38346
"86",2001,"med",41883
"87",2002,"med",39500
"88",2003,"med",46204
"89",2004,"med",57751
"90",2005,"med",41835
"91",2006,"med",51393
"92",2007,"med",46591
"93",2008,"med",69867
"94",2009,"med",84088
"95",2010,"med",137445
"96",2011,"med",130796
"97",2012,"med",86633
"98",2013,"med",60811
"99",2014,"med",49982
"100",2015,"med",52215
"101",2016,"med",60015
"102",2017,"med",62350
"103",2018,"med",60759
"104",2019,"med",56299
"105",2020,"med",62579
