"","leto","pridelek","prodaja","potrosnja","razmerje"
"1",2000,"krompir",1300240,180300000,138.666707684735
"2",2001,"krompir",1383015,159140000,115.067443230912
"3",2002,"krompir",1114680,159680000,143.251874977572
"4",2003,"krompir",934246,144900000,155.098335984312
"5",2004,"krompir",903689,151540000,167.690433323854
"6",2005,"krompir",855809,153640000,179.52603910452
"7",2006,"krompir",783974,157800000,201.282185378597
"8",2007,"krompir",979309,162700000,166.1375520903
"9",2008,"krompir",998312,154980000,155.242048578
"10",2009,"krompir",878824,1.44e+08,163.855333946274
"11",2010,"krompir",802210,140620000,175.290759277496
"12",2011,"krompir",759661,132860000,174.893801314007
"13",2012,"krompir",654640,126540000,193.297079310766
"14",2013,"krompir",503556,119160000,236.637037390082
"15",2014,"krompir",392616,124740000,317.715019255456
"16",2015,"krompir",358455,136640000,381.191502420109
"17",2016,"krompir",417135,137020000,328.47878984022
"18",2017,"krompir",426210,1.36e+08,319.091527650689
"19",2018,"krompir",426602,132980000,311.719119929114
"20",2019,"krompir",458720,123940000,270.18660620858
"21",2020,"krompir",411341,127440000,309.815943462966
"22",2000,"zelenjava",4406654,157080000,35.6460933851398
"23",2001,"zelenjava",4299957,146780000,34.135225073181
"24",2002,"zelenjava",3382944,157400000,46.5275215906619
"25",2003,"zelenjava",2594209,163040000,62.8476734141312
"26",2004,"zelenjava",2679919,177940000,66.3975291790535
"27",2005,"zelenjava",3167481,182520000,57.6230765077991
"28",2006,"zelenjava",3187512,191140000,59.9652644444946
"29",2007,"zelenjava",3950385,180580000,45.7120002227631
"30",2008,"zelenjava",3670044,201940000,55.0238634741164
"31",2009,"zelenjava",3140009,206480000,65.7577733057453
"32",2010,"zelenjava",2865729,183620000,64.0744466765699
"33",2011,"zelenjava",2530279,194180000,76.7425252314073
"34",2012,"zelenjava",2293857,190660000,83.1176485718159
"35",2013,"zelenjava",2192471,192840000,87.9555533459736
"36",2014,"zelenjava",2196154,207840000,94.6381720043312
"37",2015,"zelenjava",2413957,219760000,91.0372471423476
"38",2016,"zelenjava",2703121,226820000,83.9104131853513
"39",2017,"zelenjava",2743290,227940000,83.0900123574248
"40",2018,"zelenjava",2542054,222820000,87.6535274230996
"41",2019,"zelenjava",2667970,235080000,88.1119352916262
"42",2020,"zelenjava",2770212,237780000,85.8345859450468
"43",2000,"meso",387430,177020000,456.908344733242
"44",2001,"meso",381929,186080000,487.210973767376
"45",2002,"meso",363048,175980000,484.729291994447
"46",2003,"meso",323860,198340000,612.425121966282
"47",2004,"meso",313710,197160000,628.478531127474
"48",2005,"meso",338800,194600000,574.380165289256
"49",2006,"meso",213476,188420000,882.628492195844
"50",2007,"meso",164775,189320000,1148.96070399029
"51",2008,"meso",186869,193280000,1034.30745602534
"52",2009,"meso",154242,188280000,1220.67919243786
"53",2010,"meso",212960,187400000,879.977460555973
"54",2011,"meso",215990,179060000,829.01986203065
"55",2012,"meso",202030,176300000,872.642676830174
"56",2013,"meso",214005,164480000,768.580173360436
"57",2014,"meso",215385,169980000,789.191447872415
"58",2015,"meso",56035,176620000,3151.95859730526
"59",2016,"meso",53010,188440000,3554.80098094699
"60",2017,"meso",58560,186160000,3178.96174863388
"61",2018,"meso",70525,185200000,2626.01914214817
"62",2019,"meso",79450,181540000,2284.95909376967
"63",2020,"meso",74157,175860000,2371.45515595291
"64",2000,"jajca",5183818,21620000,4.17067111538252
"65",2001,"jajca",4584090,20200000,4.406545246712
"66",2002,"jajca",4097830,19220000,4.6902872983994
"67",2003,"jajca",3067385,13700000,4.46634511155267
"68",2004,"jajca",3085300,12460000,4.03850516967556
"69",2005,"jajca",2950320,13020000,4.41308061498414
"70",2006,"jajca",3256800,14060000,4.31712110046672
"71",2007,"jajca",3439832,17820000,5.18048555859705
"72",2008,"jajca",3642348,20060000,5.50743641189694
"73",2009,"jajca",2027856,20460000,10.0894738087912
"74",2010,"jajca",1868320,20300000,10.8653763809198
"75",2011,"jajca",1576280,20240000,12.840358311975
"76",2012,"jajca",2418340,18160000,7.50928322733776
"77",2013,"jajca",2150630,20540000,9.55068979787318
"78",2014,"jajca",2223252,19560000,8.79792304246212
"79",2015,"jajca",907195,22260000,24.5371722727749
"80",2016,"jajca",822290,21340000,25.9519147745929
"81",2017,"jajca",731480,23040000,31.4977853119703
"82",2018,"jajca",787570,21700000,27.5531063905431
"83",2019,"jajca",780010,23320000,29.8970526018897
"84",2020,"jajca",693271,20760000,29.9449998629684
"85",2000,"med",38346,2080000,54.2429458092109
"86",2001,"med",41883,2440000,58.2575269202302
"87",2002,"med",39500,2340000,59.2405063291139
"88",2003,"med",46204,1900000,41.1219807808848
"89",2004,"med",57751,2300000,39.8261501965334
"90",2005,"med",41835,2200000,52.5875463128959
"91",2006,"med",51393,2760000,53.7038118031639
"92",2007,"med",46591,1880000,40.3511407782619
"93",2008,"med",69867,1920000,27.4807849199193
"94",2009,"med",84088,2200000,26.1630672628675
"95",2010,"med",137445,2200000,16.0064025610244
"96",2011,"med",130796,2820000,21.5602923636808
"97",2012,"med",86633,1960000,22.6241732365265
"98",2013,"med",60811,2840000,46.7020769268718
"99",2014,"med",49982,2280000,45.6164219118883
"100",2015,"med",52215,2820000,54.0074691180695
"101",2016,"med",60015,2140000,35.6577522286095
"102",2017,"med",62350,1740000,27.906976744186
"103",2018,"med",60759,2140000,35.2211195049293
"104",2019,"med",56299,1400000,24.8672267713458
"105",2020,"med",62579,1840000,29.4028348167916
