"","leto","zivila","stopnja.samooskrbe","poraba","preskrba","zmoznost"
"1",2000,"žita",48,27,12.96,"NE"
"2",2000,"meso",92,10.125,9.315,"DA"
"3",2000,"jajca",95,145.7,138.415,"DA"
"4",2000,"krompir",83,48.3,40.089,"DA"
"5",2000,"zelenjava",47,6.28,2.9516,"NE"
"6",2000,"med",112,0.6,0.672,"DA"
"7",2000,"riž",1,3.8,0.038,"NE"
"8",2001,"žita",46,24.9,11.454,"NE"
"9",2001,"meso",100,9.625,9.625,"DA"
"10",2001,"jajca",98,136.5,133.77,"DA"
"11",2001,"krompir",79,41.7,32.943,"DA"
"12",2001,"zelenjava",39,5.9,2.301,"NE"
"13",2001,"med",105,0.7,0.735,"DA"
"14",2001,"riž",1,3.9,0.039,"NE"
"15",2002,"žita",63,23.6,14.868,"DELNO"
"16",2002,"meso",97,8.53333333333333,8.27733333333333,"DA"
"17",2002,"jajca",97,126,122.22,"DA"
"18",2002,"krompir",85,35.9,30.515,"DA"
"19",2002,"zelenjava",42,5.78,2.4276,"NE"
"20",2002,"med",105,0.7,0.735,"DA"
"21",2002,"riž",1,3.7,0.037,"NE"
"22",2003,"žita",38,23.8,9.044,"NE"
"23",2003,"meso",97,8.225,7.97825,"DA"
"24",2003,"jajca",104,112.7,117.208,"DA"
"25",2003,"krompir",64,36.4,23.296,"DELNO"
"26",2003,"zelenjava",37,5.84,2.1608,"NE"
"27",2003,"med",97,0.6,0.582,"DA"
"28",2003,"riž",0,3.5,0,"NE"
"29",2004,"žita",63,21.8,13.734,"DELNO"
"30",2004,"meso",92,8.1,7.452,"DA"
"31",2004,"jajca",103,109.2,112.476,"DA"
"32",2004,"krompir",86,37.9,32.594,"DA"
"33",2004,"zelenjava",43,5.92,2.5456,"NE"
"34",2004,"med",102,0.5,0.51,"DA"
"35",2004,"riž",1,3.1,0.031,"NE"
"36",2005,"žita",60,19.6,11.76,"DELNO"
"37",2005,"meso",88,7.975,7.018,"DA"
"38",2005,"jajca",94,102.2,96.068,"DA"
"39",2005,"krompir",74,38.3,28.342,"DA"
"40",2005,"zelenjava",45,6.04,2.718,"NE"
"41",2005,"med",75,0.4,0.3,"DA"
"42",2005,"riž",1,3,0.03,"NE"
"43",2006,"žita",50,18.2,9.1,"NE"
"44",2006,"meso",88,7.875,6.93,"DA"
"45",2006,"jajca",97,97.7,94.769,"DA"
"46",2006,"krompir",60,33.4,20.04,"DELNO"
"47",2006,"zelenjava",39,5.94,2.3166,"NE"
"48",2006,"med",81,0.6,0.486,"DA"
"49",2006,"riž",1,3,0.03,"NE"
"50",2007,"žita",54,17.8,9.612,"DELNO"
"51",2007,"meso",93,7.85,7.3005,"DA"
"52",2007,"jajca",95,93.7,89.015,"DA"
"53",2007,"krompir",70,30.1,21.07,"DA"
"54",2007,"zelenjava",34,5.84,1.9856,"NE"
"55",2007,"med",78,0.8,0.624,"DA"
"56",2007,"riž",2,3,0.06,"NE"
"57",2008,"žita",64,18.2,11.648,"DELNO"
"58",2008,"meso",91,7.8,7.098,"DA"
"59",2008,"jajca",95,100.2,95.19,"DA"
"60",2008,"krompir",57,31.8,18.126,"DELNO"
"61",2008,"zelenjava",36,5.96,2.1456,"NE"
"62",2008,"med",81,0.8,0.648,"DA"
"63",2008,"riž",2,2.9,0.058,"NE"
"64",2009,"žita",57,16.5,9.405,"DELNO"
"65",2009,"meso",83,7.375,6.12125,"DA"
"66",2009,"jajca",93,100.7,93.651,"DA"
"67",2009,"krompir",63,30.5,19.215,"DELNO"
"68",2009,"zelenjava",37,6.06,2.2422,"NE"
"69",2009,"med",85,0.8,0.68,"DA"
"70",2009,"riž",0,2.5,0,"NE"
"71",2010,"žita",57,16.2,9.234,"DELNO"
"72",2010,"meso",84,7.125,5.985,"DA"
"73",2010,"jajca",93,101.6,94.488,"DA"
"74",2010,"krompir",63,30.4,19.152,"DELNO"
"75",2010,"zelenjava",30,6.36,1.908,"NE"
"76",2010,"med",74,0.6,0.444,"DA"
"77",2010,"riž",0,2.4,0,"NE"
"78",2012,"žita",70,17.4,12.18,"DA"
"79",2012,"meso",83,6.625,5.49875,"DA"
"80",2012,"jajca",92,87.7,80.684,"DA"
"81",2012,"krompir",55,25.1,13.805,"DELNO"
"82",2012,"zelenjava",34,6.1,2.074,"NE"
"83",2012,"med",51,0.5,0.255,"DELNO"
"84",2012,"riž",0,2.6,0,"NE"
"85",2015,"žita",72,11.9,8.568,"DA"
"86",2015,"meso",74,5.975,4.4215,"DA"
"87",2015,"jajca",93,80.2,74.586,"DA"
"88",2015,"krompir",59,21.3,12.567,"DELNO"
"89",2015,"zelenjava",40,5.68,2.272,"NE"
"90",2015,"med",71,0.4,0.284,"DA"
"91",2015,"riž",0,2.3,0,"NE"
"92",2018,"žita",69,12.1,8.349,"DA"
"93",2018,"meso",81,5.9,4.779,"DA"
"94",2018,"jajca",96,80.3,77.088,"DA"
"95",2018,"krompir",48,21.1,10.128,"NE"
"96",2018,"zelenjava",41,5.6,2.296,"NE"
"97",2018,"med",79,0.5,0.395,"DA"
"98",2018,"riž",0,2.3,0,"NE"
