"","regija","leto","skupno.stevilo.zemljisc","skupni.povprecni.pridelek"
"1","lj",2016,194543,238
"2","kk",2013,81956,188.4
"3","sg",2010,81636,181.1
"4","kr",2013,125206,189.1
"5","mb",2013,238658,172.1
"6","ce",2016,204388,209.4
"7","za",2016,34103,176.8
"8","kk",2016,92971,229.8
"9","po",2010,69840,202.9
"10","mb",2010,237896,215.1
"11","kk",2010,81432,223.9
"12","sg",2016,79794,191.3
"13","nm",2010,159449,201.5
"14","ms",2010,189105,232.5
"15","ce",2010,216762,224.6
"16","ng",2010,94796,215.5
"17","slo",2010,1520516,232.3
"18","mb",2016,233964,214.5
"19","lj",2013,205594,198.9
"20","lj",2010,209220,239.4
"21","za",2010,21639,171.4
"22","nm",2016,162955,237.8
"23","ce",2013,205737,164.1
"24","kr",2016,121554,251
"25","slo",2013,1522663,181.8
"26","kr",2010,121496,259
"27","ms",2013,201717,172.4
"28","kp",2010,37248,196.8
"29","kp",2013,43424,143.8
"30","po",2013,65076,167.6
"31","za",2013,18381,157.5
"32","ng",2016,94970,205.7
"33","ms",2016,203044,212.6
"34","nm",2013,161290,138.4
"35","sg",2013,79910,151.7
"36","ng",2013,92618,147.1
"37","slo",2016,1527985,233.7
"38","kp",2016,39484,180.5
"39","po",2016,65434,214.8
