"","regija","leto","vrsta.zemljisca","povrsina"
"1","slo",2005,"kmetijska zemljisca",526660
"2","lj",2016,"kmetijska zemljisca",60497
"3","kk",2013,"kmetijska zemljisca",27651
"4","sg",2010,"kmetijska zemljisca",22069
"5","mb",2007,"kmetijska zemljisca",83264
"6","mb",2005,"kmetijska zemljisca",81486
"7","kr",2013,"kmetijska zemljisca",33647
"8","kp",2007,"kmetijska zemljisca",24587
"9","sg",2007,"kmetijska zemljisca",21214
"10","mb",2013,"kmetijska zemljisca",81011
"11","ce",2016,"kmetijska zemljisca",64739
"12","za",2016,"kmetijska zemljisca",10202
"13","kk",2016,"kmetijska zemljisca",30408
"14","po",2010,"kmetijska zemljisca",26866
"15","ng",2007,"kmetijska zemljisca",38959
"16","ce",2007,"kmetijska zemljisca",69095
"17","mb",2010,"kmetijska zemljisca",81706
"18","kk",2010,"kmetijska zemljisca",27379
"19","kk",2007,"kmetijska zemljisca",28849
"20","kk",2005,"kmetijska zemljisca",30050
"21","kr",2003,"kmetijska zemljisca",34903
"22","lj",2003,"kmetijska zemljisca",67387
"23","sg",2016,"kmetijska zemljisca",21736
"24","kr",2005,"kmetijska zemljisca",36744
"25","mb",2003,"kmetijska zemljisca",84313
"26","kk",2003,"kmetijska zemljisca",28882
"27","nm",2003,"kmetijska zemljisca",58778
"28","po",2007,"kmetijska zemljisca",25754
"29","kr",2007,"kmetijska zemljisca",36182
"30","za",2007,"kmetijska zemljisca",5642
"31","po",2005,"kmetijska zemljisca",25077
"32","nm",2010,"kmetijska zemljisca",57032
"33","kp",2003,"kmetijska zemljisca",19689
"34","ms",2010,"kmetijska zemljisca",64772
"35","slo",2003,"kmetijska zemljisca",526247
"36","ce",2010,"kmetijska zemljisca",68545
"37","po",2003,"kmetijska zemljisca",24976
"38","ng",2010,"kmetijska zemljisca",36717
"39","slo",2010,"kmetijska zemljisca",507091
"40","nm",2007,"kmetijska zemljisca",56420
"41","mb",2016,"kmetijska zemljisca",80100
"42","ng",2005,"kmetijska zemljisca",36231
"43","lj",2013,"kmetijska zemljisca",64296
"44","lj",2010,"kmetijska zemljisca",65726
"45","lj",2007,"kmetijska zemljisca",68152
"46","kr",2005,"skupaj",85430
"47","za",2007,"skupaj",15395
"48","ms",2003,"kmetijska zemljisca",65391
"49","za",2010,"kmetijska zemljisca",6257
"50","ce",2005,"kmetijska zemljisca",72073
"51","za",2005,"kmetijska zemljisca",6826
"52","nm",2016,"kmetijska zemljisca",52502
"53","ms",2005,"skupaj",81089
"54","lj",2005,"kmetijska zemljisca",67277
"55","nm",2005,"kmetijska zemljisca",62238
"56","po",2003,"skupaj",42660
"57","za",2010,"skupaj",15439
"58","lj",2003,"skupaj",132308
"59","kr",2007,"skupaj",87735
"60","ce",2013,"kmetijska zemljisca",67388
"61","ms",2005,"kmetijska zemljisca",65686
"62","kr",2016,"kmetijska zemljisca",32145
"63","slo",2007,"skupaj",921226
"64","ms",2010,"skupaj",80557
"65","kk",2003,"skupaj",47814
"66","ms",2016,"skupaj",85281
"67","kk",2005,"skupaj",49521
"68","kr",2016,"skupaj",83813
"69","za",2005,"skupaj",16433
"70","po",2007,"skupaj",46035
"71","po",2005,"skupaj",43330
"72","slo",2013,"kmetijska zemljisca",499414
"73","ce",2003,"kmetijska zemljisca",71199
"74","kr",2010,"kmetijska zemljisca",33077
"75","ng",2003,"kmetijska zemljisca",41731
"76","ms",2007,"kmetijska zemljisca",66050
"77","po",2010,"skupaj",46177
