"","regija","vrsta.zivine","leto","stevilo.zivine"
"1","ng","prasici",2016,2409
"2","ng","prasici",2013,3248
"3","ng","velika.zivina",2010,18104
"4","ng","ovce",2016,19174
"5","ng","ovce",2013,14503
"6","ng","velika.zivina",2007,17607
"7","kr","velika.zivina",2003,39262
"8","kr","velika.zivina",2005,38692
"9","kr","velika.zivina",2007,36872
"10","kr","velika.zivina",2010,39525
"11","ng","velika.zivina",2013,17683
"12","ng","perutnina",2013,136649
"13","ng","prasici",2003,4828
"14","ng","govedo",2016,21074
"15","ng","velika.zivina",2005,16518
"16","ng","govedo",2003,21194
"17","kr","velika.zivina",2013,39177
"18","kr","velika.zivina",2016,38054
"19","kr","govedo",2003,51177
"20","kr","govedo",2005,50361
"21","kr","govedo",2007,49168
"22","kr","govedo",2010,51914
"23","kr","govedo",2013,51713
"24","kr","govedo",2016,49631
"25","kr","prasici",2003,5290
"26","kr","prasici",2005,3766
"27","kr","prasici",2007,3157
"28","kr","prasici",2010,3355
"29","kr","prasici",2013,2557
"30","kr","prasici",2016,2450
"31","kr","perutnina",2003,69277
"32","kr","perutnina",2007,62872
"33","kr","perutnina",2010,37961
"34","kr","perutnina",2013,52481
"35","kr","perutnina",2016,92739
"36","kr","konji",2010,1587
"37","kr","konji",2013,1515
"38","kr","konji",2016,1605
"39","kr","ovce",2005,11022
"40","kr","ovce",2007,9947
"41","kr","ovce",2010,10082
"42","kr","ovce",2013,10959
"43","kr","ovce",2016,10016
"44","kr","koze",2010,2354
"45","kr","koze",2013,2878
"46","kr","koze",2016,3993
"47","nm","velika.zivina",2003,40683
"48","nm","velika.zivina",2005,38662
"49","nm","velika.zivina",2007,38738
"50","nm","velika.zivina",2010,39589
"51","nm","velika.zivina",2013,38613
"52","nm","velika.zivina",2016,41211
"53","nm","govedo",2003,43374
"54","nm","govedo",2005,41912
"55","nm","govedo",2007,44077
"56","nm","govedo",2010,44059
"57","nm","govedo",2013,45620
"58","nm","govedo",2016,50443
"59","nm","prasici",2003,30457
"60","nm","prasici",2005,31040
"61","nm","prasici",2007,31028
"62","nm","prasici",2010,15904
"63","nm","prasici",2013,13535
"64","nm","prasici",2016,13805
"65","nm","perutnina",2003,152081
"66","nm","perutnina",2005,98354
"67","nm","perutnina",2007,125198
"68","nm","perutnina",2010,124285
"69","nm","perutnina",2013,104827
"70","nm","perutnina",2016,129788
"71","nm","konji",2005,3050
"72","nm","konji",2007,2846
"73","nm","konji",2010,4285
"74","nm","konji",2013,3904
"75","nm","konji",2016,2458
"76","nm","ovce",2003,34895
"77","nm","ovce",2005,31885
"78","nm","ovce",2007,28560
"79","nm","ovce",2010,30585
"80","nm","ovce",2013,26480
"81","nm","ovce",2016,26100
"82","nm","koze",2010,3592
"83","nm","koze",2013,3279
"84","nm","koze",2016,4894
"85","lj","velika.zivina",2003,70722
"86","lj","velika.zivina",2005,63387
"87","lj","velika.zivina",2007,64703
"88","lj","velika.zivina",2010,64274
"89","lj","velika.zivina",2013,60883
"90","lj","velika.zivina",2016,60871
"91","lj","govedo",2003,79089
"92","lj","govedo",2005,75553
