"Kolièina doma porabljenih živil in pijaè na èlana gospodinjstva, letno povpreèje, Slovenija, veèletno"

"ŽIVILA / PIJAÈE"	"2000 Kupljene"	"2000 Iz lastne proizvodnje"	"2001 Kupljene"	"2001 Iz lastne proizvodnje"	"2002 Kupljene"	"2002 Iz lastne proizvodnje"	"2003 Kupljene"	"2003 Iz lastne proizvodnje"	"2004 Kupljene"	"2004 Iz lastne proizvodnje"	"2005 Kupljene"	"2005 Iz lastne proizvodnje"	"2006 Kupljene"	"2006 Iz lastne proizvodnje"	"2007 Kupljene"	"2007 Iz lastne proizvodnje"	"2008 Kupljene"	"2008 Iz lastne proizvodnje"	"2009 Kupljene"	"2009 Iz lastne proizvodnje"	"2010 Kupljene"	"2010 Iz lastne proizvodnje"	"2012 Kupljene"	"2012 Iz lastne proizvodnje"	"2015 Kupljene"	"2015 Iz lastne proizvodnje"	"2018 Kupljene"	"2018 Iz lastne proizvodnje"
"Riž [kg]"	3.8	-	3.9	-	3.7	-	3.5	-	3.1	-	3.0	-	3.0	-	3.0	-	2.9	-	2.5	-	2.4	-	2.6	-	2.3	-	2.3	-
"Kruh in drugi pekovski izdelki [kg]"	64.1	-	60.7	-	56.8	-	52.8	-	50.0	-	46.1	-	42.3	-	39.0	-	38.6	-	37.9	-	38.6	-	34.2	-	27.5	-	26.9	-
"Èajno pecivo, piškoti sladki in slani [kg]"	5.3	-	5.4	-	5.5	-	5.8	-	6.1	-	6.4	-	6.5	-	6.5	-	6.6	-	6.4	-	6.7	-	6.6	-	6.6	-	6.8	-
"Testenine in kuskus [kg]"	6.6	-	6.6	-	6.5	-	6.6	-	6.4	-	6.7	-	6.5	-	6.5	-	6.2	-	5.9	-	6.7	-	6.4	-	5.8	-	6.7	-
"Moka vseh vrst, kosmièi in zdrob [kg]"	21.9	5.1	21.3	3.6	21.0	2.6	21.4	2.4	19.2	2.6	17.1	2.5	15.9	2.3	16.1	1.7	16.3	1.9	15.0	1.5	14.3	1.9	15.5	1.9	11.2	0.7	11.6	0.5
"Goveje meso (sveže in zamrznjeno) [kg]"	11.3	2.7	9.5	2.1	9.0	1.5	8.9	1.3	9.2	1.1	8.9	1.4	8.9	1.1	8.8	1.2	8.4	1.0	7.7	1.0	7.5	0.9	4.9	1.1	3.9	1.0	4.5	1.3
"Svinjsko (sveže in zamrznjeno) [kg]"	5.0	9.1	7.7	6.6	8.2	5.3	6.3	4.7	6.7	4.6	6.7	4.3	6.9	4.4	6.4	4.5	6.1	4.5	6.0	4.0	5.9	3.4	6.8	2.9	6.3	2.2	5.2	2.2
"Perutnina (sveža in zamrznjena) [kg]"	9.6	1.2	9.9	1.0	9.7	0.8	9.7	0.6	9.1	0.6	9.1	0.5	8.7	0.5	9.2	0.5	9.7	0.5	9.4	0.5	9.7	0.4	9.6	0.4	9.4	0.3	9.4	0.4
"Delikatese (posušeno, soljeno, dimljeno meso) [kg]"	10.5	2.0	10.9	1.6	10.8	1.3	10.8	1.2	10.7	0.9	10.8	1.0	10.9	0.9	10.5	1.0	10.7	0.9	10.4	0.8	11.0	0.5	13.6	0.5	12.2	0.4	12.4	0.4
"Ribe (sveže in zamrznjene) [kg]"	2.0	-	2.0	-	2.1	-	2.0	-	1.9	-	1.8	-	1.6	-	1.4	-	1.4	-	1.4	-	1.6	-	1.5	-	1.7	-	1.1	-
"Mleko, polmastno in lahko [liter]"	59.8	19.6	63.1	15.3	64.5	11.9	65.0	9.6	65.6	7.8	62.6	7.3	59.0	6.6	57.8	7.5	58.9	7.2	57.2	7.3	57.7	5.4	50.0	4.1	43.5	3.3	40.1	2.9
"Jogurt [kg]"	10.7	1.5	11.6	0.8	12.3	0.4	13.1	0.5	13.8	0.6	14.6	0.6	14.9	0.3	15.5	0.3	16.3	0.3	15.9	0.0	16.4	0.0	15.9	0.0	12.1	0.2	12.6	N
"Sir in skuta [kg]"	7.8	0.7	7.9	0.4	8.1	0.3	8.7	0.3	9.1	0.2	9.2	0.2	9.1	0.2	9.0	0.2	9.2	0.2	9.2	0.2	9.5	0.1	9.1	0.1	8.4	0.1	8.9	0.1
"Smetana (sladka in kisla) [kg]"	3.3	0.2	3.4	0.1	3.4	0.1	3.6	0.1	3.7	0.1	3.7	0.1	3.7	0.0	3.9	0.0	4.2	0.0	4.4	0.0	4.6	0.0	4.5	0.0	4.2	N	4.6	N
"Drugi mleèni izdelki (mleène sladice, mleèni napitki, puding...) [kg]"	0.9	-	0.8	-	0.8	-	1.0	-	1.5	-	1.7	-	1.9	-	1.9	-	2.3	-	3.5	-	3.5	-	3.6	-	3.9	-	5.3	0.1
"Jajca [kos]"	98.9	46.8	99.9	36.6	99.1	26.9	91.0	21.7	90.3	18.9	83.9	18.3	81.3	16.4	78.6	15.1	80.9	19.4	80.5	20.2	82.1	19.5	75.5	12.2	69.5	10.7	72.3	8.0
"Maslo [kg]"	0.7	0.0	0.7	0.0	0.7	0.0	0.7	0.0	0.8	0.0	0.8	0.0	0.8	0.0	0.8	0.0	1.0	0.0	1.0	0.0	1.1	0.0	1.4	N	1.4	N	1.6	N
"Margarina in druge rastlinske mašèobe [kg]"	2.3	-	2.3	-	2.2	-	2.2	-	2.2	-	2.2	-	2.0	-	1.9	-	2.1	-	1.9	-	1.7	-	1.4	-	1.1	-	0.9	-
"Jedilno olje [liter]"	14.0	0.1	14.1	0.1	13.4	0.1	12.2	0.1	11.4	0.2	11.0	0.2	10.6	0.1	10.3	0.1	10.2	0.1	9.7	0.1	9.1	0.1	10.5	0.1	8.8	0.0	7.3	0.1
"Druge jedilne živalske mašèobe [kg]"	0.3	1.3	0.6	1.1	0.6	1.0	0.5	0.9	0.3	0.8	0.3	0.7	0.3	0.7	0.3	0.7	0.4	0.6	0.3	0.5	0.3	0.5	0.5	0.3	0.5	0.2	0.4	0.2
"Agrumi [kg]"	12.7	0.0	13.1	0.0	13.4	0.0	14.2	0.0	14.8	0.0	15.2	0.0	14.8	0.1	15.2	0.1	15.5	0.1	15.8	0.0	15.6	0.1	13.9	N	13.9	N	11.6	0.0
"Banane [kg]"	9.4	-	10.3	-	11.2	-	11.5	-	10.8	-	10.2	-	10.2	-	10.7	-	10.9	-	11.0	-	11.2	-	9.4	-	12.4	-	12.1	-
"Jabolka [kg]"	12.5	9.6	13.5	8.5	13.4	7.7	13.0	7.0	12.9	6.6	12.6	5.9	11.6	5.4	11.3	5.6	11.4	6.4	11.7	6.8	11.2	7.0	10.2	5.5	9.3	4.3	7.5	4.2
"Hruške [kg]"	0.5	2.0	0.6	1.7	0.6	1.7	0.7	1.5	1.0	1.4	1.4	1.2	1.7	1.1	1.7	1.2	1.4	1.4	1.2	1.4	1.2	1.4	1.6	1.6	1.3	1.1	1.2	1.0
"Slive [kg]"	0.3	0.9	0.3	0.9	0.3	0.9	0.2	1.0	0.3	0.9	0.2	0.9	0.2	0.8	0.3	0.8	0.3	0.8	0.4	0.8	0.4	1.0	0.4	0.8	0.4	0.5	0.4	1.0
"Marelice in breskve [kg]"	2.5	0.9	2.7	1.0	2.7	0.9	2.5	0.8	2.7	0.6	2.7	0.5	2.3	0.6	1.9	0.6	2.0	0.6	2.1	0.6	2.3	0.6	1.7	0.5	2.0	0.5	1.6	0.4
"Grozdje [kg]"	1.8	3.0	1.8	2.9	1.7	2.4	1.8	3.2	2.3	3.6	2.9	3.7	3.1	2.3	3.0	1.5	2.9	1.5	2.8	1.3	2.5	1.7	1.7	1.8	1.7	1.0	1.6	1.2
"Zelena solata [kg]"	4.9	6.1	4.9	5.5	4.8	5.2	4.7	4.9	4.8	4.5	5.1	4.2	5.0	4.0	5.0	3.9	4.9	4.5	4.9	5.4	4.7	6.0	3.5	4.8	2.3	5.0	3.0	4.1
"Zelje in ohrovt [kg]"	3.9	3.9	2.7	3.6	2.4	3.3	3.1	3.0	3.6	2.7	3.4	2.6	2.8	2.6	2.4	2.6	2.3	2.5	2.2	2.4	2.4	2.2	5.2	1.5	3.7	1.6	3.2	1.2
"Paradižnik [kg]"	3.9	3.1	4.3	3.3	4.5	3.4	4.6	3.2	4.8	3.1	5.2	3.0	5.1	3.0	5.2	3.0	5.3	3.0	5.4	3.0	5.2	3.0	4.5	3.2	5.1	2.7	4.8	3.5
"Grah in stroèji fižol - sveža [kg]"	0.3	1.8	0.4	1.7	0.4	1.6	0.3	1.5	0.3	1.4	0.3	1.4	0.3	1.4	0.3	1.3	0.2	1.4	0.3	1.4	0.3	1.4	0.2	1.0	0.2	1.2	0.3	0.8
"Paprika [kg]"	3.0	0.8	2.8	0.8	2.7	0.8	2.8	0.8	2.7	0.8	2.8	0.8	2.9	0.8	2.7	0.9	2.8	0.9	2.5	0.9	2.9	0.9	2.4	1.0	2.7	1.0	2.6	1.2
"Korenje [kg]"	1.1	1.7	1.1	1.6	1.3	1.5	1.4	1.3	1.5	1.2	1.6	1.2	1.7	1.2	1.9	1.1	2.2	1.1	2.3	1.2	2.3	1.2	2.3	1.1	2.5	1.0	2.6	0.8
"Èesen in èebula [kg]"	5.0	2.8	4.4	2.7	4.4	2.6	5.1	2.3	5.4	2.1	5.5	1.9	5.1	1.9	5.4	1.8	5.6	1.9	5.6	2.0	5.4	1.9	4.9	1.8	4.6	1.9	4.7	1.7
"Fižol, suh grah, bob in leèa [kg]"	1.3	1.1	1.1	0.9	1.0	0.8	1.0	0.7	1.1	0.6	1.1	0.6	0.9	0.6	0.9	0.5	0.8	0.6	0.8	0.6	0.7	0.6	0.7	0.4	0.8	0.5	0.4	0.3
"Konzervirana in predelana zelenjava [kg]"	6.0	-	6.5	-	6.9	-	7.2	-	7.8	-	8.5	-	8.7	-	8.6	-	8.5	-	8.5	-	9.2	-	8.8	-	8.5	-	9.2	-
"Krompir [kg]"	24.3	24.0	21.6	20.1	18.9	17.0	20.1	16.3	22.7	15.2	23.3	15.0	19.3	14.1	15.9	14.2	15.8	16.0	14.2	16.3	14.7	15.7	11.1	14.0	10.7	10.6	11.3	9.8
"Sladkor [kg]"	14.7	-	14.2	-	13.7	-	13.4	-	12.4	-	10.9	-	10.1	-	10.0	-	10.6	-	9.9	-	9.8	-	8.0	-	7.0	-	6.4	-
"Marmelada in džem [kg]"	1.1	0.0	1.0	-	0.9	-	0.8	-	0.8	-	0.7	-	0.7	-	0.8	-	0.9	-	0.9	-	0.8	-	0.7	-	0.6	-	0.5	-
"Med [kg]"	0.5	0.1	0.6	0.1	0.6	0.1	0.5	0.1	0.4	0.1	0.4	0.0	0.5	0.1	0.6	0.3	0.5	0.3	0.5	0.3	0.5	0.1	0.4	N	0.4	N	0.4	N
"Èokolada [kg]"	2.7	-	3.1	-	3.4	-	3.6	-	3.9	-	4.1	-	4.0	-	3.9	-	3.9	-	3.7	-	3.8	-	5.4	-	4.1	-	4.5	-
"Sladoled [liter]"	2.3	-	2.6	-	3.0	-	3.2	-	3.2	-	2.8	-	3.0	-	3.3	-	3.9	-	4.0	-	4.0	-	4.4	-	3.6	-	3.9	-
"Kava, prava in nadomestki [kg]"	3.1	-	3.2	-	3.2	-	3.1	-	3.1	-	3.1	-	3.1	-	3.2	-	3.3	-	3.4	-	3.4	-	3.5	-	3.1	-	3.0	-
"Kakav [kg]"	0.5	-	0.5	-	0.4	-	0.4	-	0.4	-	0.4	-	0.4	-	0.4	-	0.4	-	0.4	-	0.4	-	0.4	-	0.3	-	0.3	-
"Mineralna ali izvirska voda [liter]"	30.6	-	33.2	-	35.0	-	36.8	-	37.6	-	39.5	-	41.8	-	45.4	-	46.1	-	42.0	-	39.0	-	38.2	-	34.8	-	32.0	-
"Brezalkoholne pijaèe (gazirane pijaèe, ledeni èaj, energetski napitki,...) [liter]"	30.9	-	29.3	-	29.4	-	29.1	-	31.9	-	35.6	-	38.5	-	39.3	-	37.6	-	35.9	-	36.7	-	29.4	-	23.4	-	24.0	-
"Sadni sokovi [liter]"	28.2	0.0	31.1	0.0	33.5	-	33.0	0.0	30.4	-	26.2	-	23.0	-	21.3	-	21.5	-	22.4	-	22.4	-	21.6	-	12.7	0.5	16.1	0.4
"Sadni sirup [liter]"	4.1	-	3.8	-	3.6	-	3.1	-	2.9	-	2.6	-	2.6	-	2.4	-	2.3	-	2.3	-	2.3	-	2.0	-	2.2	-	1.4	-
"Žgane pijaèe (viski, liker, konjak, vodka, rum...) [liter]"	0.6	0.0	0.5	0.0	0.6	0.0	0.6	0.0	0.6	0.0	0.7	0.0	0.8	0.0	0.8	0.0	0.8	0.0	0.9	-	0.9	-	1.0	0.1	0.8	0.0	1.0	0.1
"Vino [liter]"	7.8	17.9	7.9	16.1	7.5	14.1	6.9	13.0	7.0	12.0	6.6	10.3	6.1	9.7	5.5	8.4	5.9	8.4	5.5	7.5	5.5	8.2	5.8	5.0	5.2	2.6	4.9	3.5
