vrsta.zivine,leto,stevilo.zivine
NA,2010,2392
NA,2007,1824
NA,2013,2112
NA,2016,3010
NA,2005,2145
NA,2000,2124
NA,2003,1499
govedo,2016,32805
govedo,2003,46736
govedo,2010,36119
govedo,2013,34087
govedo,2000,56097
govedo,2005,43675
govedo,2007,40842
jelenjad,2000,190
jelenjad,2003,275
jelenjad,2005,235
jelenjad,2007,263
jelenjad,2010,352
jelenjad,2013,505
jelenjad,2016,406
konji,2003,4728
konji,2000,4634
konji,2010,5948
konji,2013,6029
konji,2005,5128
konji,2007,5081
konji,2016,5766
koze,2000,4775
koze,2007,4133
koze,2010,4214
koze,2003,3974
koze,2005,4108
koze,2013,4022
koze,2016,4598
kunci,2003,9667
kunci,2005,10303
kunci,2013,8300
kunci,2016,8672
kunci,2007,9213
kunci,2010,8051
kunci,2000,12682
ovce,2005,5747
ovce,2007,5923
ovce,2013,6243
ovce,2016,6150
ovce,2010,6181
ovce,2000,4330
ovce,2003,5281
perutnina,2007,39786
perutnina,2010,36240
perutnina,2013,36657
perutnina,2016,37840
perutnina,2005,45512
perutnina,2000,58929
perutnina,2003,49369
NA,2007,31690
NA,2000,44623
NA,2003,39484
NA,2005,33945
NA,2010,26441
NA,2013,23700
NA,2016,22649
skupaj,2000,77452
skupaj,2005,66909
skupaj,2007,63549
skupaj,2003,68909
skupaj,2013,57749
skupaj,2016,55782
skupaj,2010,58648
